Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Jamaica,JAM,2022,Forest area (sq. km),AG.LND.FRST.K2,6046.611
Jamaica,JAM,2021,Forest area (sq. km),AG.LND.FRST.K2,6007.733
Jamaica,JAM,2020,Forest area (sq. km),AG.LND.FRST.K2,5968.9
Jamaica,JAM,2019,Forest area (sq. km),AG.LND.FRST.K2,5930
Jamaica,JAM,2018,Forest area (sq. km),AG.LND.FRST.K2,5891.2
Jamaica,JAM,2017,Forest area (sq. km),AG.LND.FRST.K2,5852.3
Jamaica,JAM,2016,Forest area (sq. km),AG.LND.FRST.K2,5813.4
Jamaica,JAM,2015,Forest area (sq. km),AG.LND.FRST.K2,5774.6
Jamaica,JAM,2014,Forest area (sq. km),AG.LND.FRST.K2,5736.58
Jamaica,JAM,2013,Forest area (sq. km),AG.LND.FRST.K2,5698.56
Jamaica,JAM,2012,Forest area (sq. km),AG.LND.FRST.K2,5660.54
Jamaica,JAM,2011,Forest area (sq. km),AG.LND.FRST.K2,5622.52
Jamaica,JAM,2010,Forest area (sq. km),AG.LND.FRST.K2,5584.5
Jamaica,JAM,2009,Forest area (sq. km),AG.LND.FRST.K2,5547.05
Jamaica,JAM,2008,Forest area (sq. km),AG.LND.FRST.K2,5509.6
Jamaica,JAM,2007,Forest area (sq. km),AG.LND.FRST.K2,5472.15
Jamaica,JAM,2006,Forest area (sq. km),AG.LND.FRST.K2,5434.7
Jamaica,JAM,2005,Forest area (sq. km),AG.LND.FRST.K2,5397.25
Jamaica,JAM,2004,Forest area (sq. km),AG.LND.FRST.K2,5359.8
Jamaica,JAM,2003,Forest area (sq. km),AG.LND.FRST.K2,5322.35
Jamaica,JAM,2002,Forest area (sq. km),AG.LND.FRST.K2,5284.9
Jamaica,JAM,2001,Forest area (sq. km),AG.LND.FRST.K2,5247.45
Jamaica,JAM,2000,Forest area (sq. km),AG.LND.FRST.K2,5210
Jamaica,JAM,1999,Forest area (sq. km),AG.LND.FRST.K2,5210.28
Jamaica,JAM,1998,Forest area (sq. km),AG.LND.FRST.K2,5210.56
Jamaica,JAM,1997,Forest area (sq. km),AG.LND.FRST.K2,5210.84
Jamaica,JAM,1996,Forest area (sq. km),AG.LND.FRST.K2,5211.12
Jamaica,JAM,1995,Forest area (sq. km),AG.LND.FRST.K2,5211.4
Jamaica,JAM,1994,Forest area (sq. km),AG.LND.FRST.K2,5211.68
Jamaica,JAM,1993,Forest area (sq. km),AG.LND.FRST.K2,5211.96
Jamaica,JAM,1992,Forest area (sq. km),AG.LND.FRST.K2,5212.24
Jamaica,JAM,1991,Forest area (sq. km),AG.LND.FRST.K2,5212.52
Jamaica,JAM,1990,Forest area (sq. km),AG.LND.FRST.K2,5212.8
Jamaica,JAM,2023,Forest area (% of land area),AG.LND.FRST.ZS,56.190757156048
Jamaica,JAM,2022,Forest area (% of land area),AG.LND.FRST.ZS,55.8320498614958
Jamaica,JAM,2021,Forest area (% of land area),AG.LND.FRST.ZS,55.4730655586334
Jamaica,JAM,2020,Forest area (% of land area),AG.LND.FRST.ZS,55.1144967682364
Jamaica,JAM,2019,Forest area (% of land area),AG.LND.FRST.ZS,54.7553093259464
Jamaica,JAM,2018,Forest area (% of land area),AG.LND.FRST.ZS,54.3970452446907
Jamaica,JAM,2017,Forest area (% of land area),AG.LND.FRST.ZS,54.0378578024007
Jamaica,JAM,2016,Forest area (% of land area),AG.LND.FRST.ZS,53.6786703601108
